thyroid_selective_rank,drug_name,canonical_drug_id,canonical_smiles,target_genes,PATHWAY_NAME_NORMALIZED,classification,ranking_layer,thyroid_selective_score,ensemble_score,mean_pred_ln_ic50,thyroid_mean_ln_ic50,pancancer_mean_ln_ic50,selectivity_delta_ln_ic50,thyroid_sensitive_rate,thyroid_context_score,broad_cytotoxic_flag,broad_cytotoxic_penalty,thyroid_observed_cell_lines,pancancer_cell_lines,pancancer_tcga_types,thyroid_targeted_rank
16,PLX-4720,1036,CCCS(=O)(=O)Nc1ccc(F)c(C(=O)c2c[nH]c3ncc(Cl)cc23)c1F,BRAF;KDR,ERK MAPK signaling,screened_candidate,thyroid_context_supported,0.6866666666666666,-3.5410411059856415,3.5410411059856415,4.069937125,4.2121921619047615,0.1422550369047615,0.5,0.8500000000000001,False,0.0,16,945,31,16
17,Lestaurtinib,1024,C[C@]12O[C@H](C[C@]1(O)CO)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)CNC4=O,FLT3;JAK2;NTRK1;NTRK2;NTRK3,Other kinases,screened_candidate,screened_selectivity_candidate,0.6631623931623931,-0.21199381141923368,0.21199381141923368,0.1172835,-0.015120164339419971,-0.13240366433941997,1.0,0.8500000000000001,False,0.2,16,931,31,17
18,AZD4547,1786,COc1cc(CCc2cc(NC(=O)c3ccc(N4CC(C)NC(C)C4)cc3)n[nH]2)cc(OC)c1,FGFR1;FGFR2;FGFR3,RTK signaling,indication_expansion,screened_selectivity_candidate,0.6472649572649573,-3.215532287955284,3.215532287955284,3.1525804375,2.7184456839872744,-0.4341347535127258,0.8125,0.9500000000000001,False,0.0,16,943,31,18
19,AZD8055,1059,COc1ccc(-c2ccc3c(N4CCOC[C@@H]4C)nc(N4CCOC[C@@H]4C)nc3n2)cc1CO,MTOR,PI3K/MTOR signaling,screened_candidate,screened_selectivity_candidate,0.6447863247863248,-0.26585495764655726,0.26585495764655726,0.1678127857142857,-0.03658903830369357,-0.20440182401797927,1.0,0.8500000000000001,False,0.2,14,731,30,19
20,BMS-536924,1091,Cc1cc(N2CCOCC2)cc2[nH]c(-c3c(NCC(O)c4cccc(Cl)c4)cc[nH]c3=O)nc12,IGF1R;IR,IGF1R signaling,screened_candidate,screened_selectivity_candidate,0.6397435897435897,-2.057505413889885,2.057505413889885,2.15503,2.1094579532908706,-0.0455720467091294,0.9375,0.0,False,0.0,16,942,31,20
21,Foretinib,2040,COc1cc2c(Oc3ccc(NC(=O)C4(C(=O)Nc5ccc(F)cc5)CC4)cc3F)ccnc2cc1OCCCN1CCOCC1,EGFR;FGFR1;FLT4;HGF;KDR;MET;PDGFR;RON;TIE2,RTK signaling,screened_candidate,screened_selectivity_candidate,0.6353846153846154,-1.427635671570897,1.427635671570897,1.0319998750000001,0.9096075901814301,-0.12239228481857001,1.0,0.8500000000000001,False,0.2,16,937,31,21
22,AZ960,1250,Cc1cc(Nc2nc(NC(C)c3ccc(F)cc3)c(C#N)cc2F)n[nH]1,JAK2;JAK3,Other kinases,screened_candidate,screened_selectivity_candidate,0.6262393162393163,-2.6414247155189514,2.6414247155189514,2.1866472142857143,1.8925642072892939,-0.2940830069964204,0.8571428571428571,0.3,False,0.0,14,878,31,22
23,Buparlisib,1873,Nc1cc(C(F)(F)F)c(-c2cc(N3CCOCC3)nc(N3CCOCC3)n2)cn1,PI3KALPHA;PI3KBETA;PI3KDELTA;PI3KGAMMA;PIK3CA;PIK3CB;PIK3CD;PIK3CG,PI3K/MTOR signaling,indication_expansion,screened_selectivity_candidate,0.6182051282051282,-1.447357926517725,1.447357926517725,1.3999575625,1.129653600849257,-0.270303961650743,0.9375,0.9500000000000001,False,0.2,16,942,31,23
24,SL0101,1039,CC(=O)OC1C(C)OC(Oc2c(-c3ccc(O)cc3)oc3cc(O)cc(O)c3c2=O)C(O)C1OC(C)=O,AURKB;PIM1;PIM3;RSK,Other kinases,screened_candidate,screened_selectivity_candidate,0.6044444444444443,-3.024647057056427,3.024647057056427,4.4289735,4.736093493273542,0.30711999327354267,0.0,0.3,False,0.0,2,223,24,24
26,Savolitinib,1936,C[C@@H](c1ccc2nccn2c1)n1nnc2ncc(-c3cnn(C)c3)nc21,MET,RTK signaling,screened_candidate,screened_selectivity_candidate,0.5952136752136753,-3.4229330271482468,3.4229330271482468,3.261660625,2.7248201838469712,-0.536840441153029,0.75,0.8500000000000001,False,0.0,16,941,31,25
27,Entospletinib,1630,c1cn2cc(-c3ccc4cn[nH]c4c3)nc(Nc3ccc(N4CCOCC4)cc3)c2n1,SYK,Other kinases,screened_candidate,screened_selectivity_candidate,0.5929059829059828,-3.5058701378958568,3.5058701378958568,3.545974642857143,3.6740900886363637,0.12811544577922085,0.6428571428571429,0.3,False,0.0,14,880,31,26
28,Crizotinib,1083,C[C@@H](Oc1cc(-c2cnn(C3CCNCC3)c2)cnc1N)c1c(Cl)ccc(F)c1Cl,ALK;MET;MST1R;ROS1,RTK signaling,indication_expansion,screened_selectivity_candidate,0.5912820512820514,-3.0008527263998985,3.0008527263998985,3.237987625,2.545347096842105,-0.6926405281578951,0.625,0.9500000000000001,False,0.0,16,950,31,27
29,Sorafenib,1085,CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3ccc(Cl)c(C(F)(F)F)c3)cc2)ccn1,BRAF;EGFR;FGFR1;FLT1;FLT3;FLT4;KDR;KIT;PDGFR;PDGFRB;RAF;RAF1;RET,Other kinases,approved,screened_selectivity_candidate,0.5901709401709402,-3.219490110874176,3.219490110874176,3.2061374375,2.534038968152866,-0.6720984693471337,0.75,1.0,False,0.0,16,942,31,28
31,Axitinib,1021,CNC(=O)c1ccccc1Sc1ccc2c(/C=C/c3ccccn3)n[nH]c2c1,ABL1;FLT1;FLT4;KDR;KIT;PDGFR,RTK signaling,indication_expansion,screened_selectivity_candidate,0.5801709401709402,-3.4408984780311584,3.4408984780311584,3.51946525,2.891868422222222,-0.6275968277777779,0.375,0.9500000000000001,False,0.0,16,945,31,29
32,Daporinad,1248,O=C(/C=C/c1cccnc1)NCCCCC1CCN(C(=O)c2ccccc2)CC1,NAMPT,Metabolism,screened_candidate,screened_selectivity_candidate,0.5775213675213675,1.5932222488853667,-1.5932222488853667,-3.2287134444444447,-3.38742916552901,-0.15871572108456533,1.0,0.3,False,0.2,9,586,31,30
